"dt","average_temperature","country"
"2013",-2.569,"Åland"
"2013",-1.782,"Åland"
"2013",-4.779,"Åland"
"2013",1.701,"Åland"
"2013",10.327,"Åland"
"2013",14.068,"Åland"
"2013",16.447,"Åland"
"2013",16.425,"Åland"
"2013",2.241,"Afghanistan"
"2013",4.253,"Afghanistan"
"2013",8.46,"Afghanistan"
"2013",14.845,"Afghanistan"
"2013",21.355,"Afghanistan"
"2013",26.879,"Afghanistan"
"2013",28.205,"Afghanistan"
"2013",26.031,"Afghanistan"
"2013",22.138,"Africa"
"2013",23.533,"Africa"
"2013",25.717,"Africa"
"2013",25.52,"Africa"
"2013",26.671,"Africa"
"2013",26.324,"Africa"
"2013",25.856,"Africa"
"2013",25.911,"Africa"
"2013",4.412,"Albania"
"2013",5.769,"Albania"
"2013",8.423,"Albania"
"2013",13.538,"Albania"
"2013",18.355,"Albania"
"2013",21.07,"Albania"
"2013",23.591,"Albania"
"2013",24.793,"Albania"
"2013",12.781,"Algeria"
"2013",14.211,"Algeria"
"2013",21.027,"Algeria"
"2013",24.242,"Algeria"
"2013",28.482,"Algeria"
"2013",32.288,"Algeria"
"2013",34.707,"Algeria"
"2013",33.234,"Algeria"
"2013",27.241,"American Samoa"
"2013",27.793,"American Samoa"
"2013",27.683,"American Samoa"
"2013",27.824,"American Samoa"
"2013",28.045,"American Samoa"
"2013",27.65,"American Samoa"
"2013",26.902,"American Samoa"
"2013",27,"American Samoa"
"2013",4.757,"Andorra"
"2013",3.988,"Andorra"
"2013",8.03,"Andorra"
"2013",9.97,"Andorra"
"2013",11.91,"Andorra"
"2013",17.01,"Andorra"
"2013",22.003,"Andorra"
"2013",20.795,"Andorra"
"2013",24.33,"Angola"
"2013",24.785,"Angola"
"2013",24.576,"Angola"
"2013",23.175,"Angola"
"2013",21.861,"Angola"
"2013",20.103,"Angola"
"2013",19.656,"Angola"
"2013",21.577,"Angola"
"2013",25.919,"Anguilla"
"2013",25.899,"Anguilla"
"2013",26.187,"Anguilla"
"2013",26.679,"Anguilla"
"2013",27.667,"Anguilla"
"2013",28.414,"Anguilla"
"2013",28.904,"Anguilla"
"2013",29.235,"Anguilla"
"2013",25.787,"Antigua And Barbuda"
"2013",25.802,"Antigua And Barbuda"
"2013",26.089,"Antigua And Barbuda"
"2013",26.601,"Antigua And Barbuda"
"2013",27.706,"Antigua And Barbuda"
"2013",28.322,"Antigua And Barbuda"
"2013",28.712,"Antigua And Barbuda"
"2013",28.978,"Antigua And Barbuda"
"2013",22.477,"Argentina"
"2013",21.145,"Argentina"
"2013",17.366,"Argentina"
"2013",15.838,"Argentina"
"2013",11.745,"Argentina"
"2013",9.594,"Argentina"
"2013",8.344,"Argentina"
"2013",9.148,"Argentina"
"2013",-2.414,"Armenia"
"2013",0.586,"Armenia"
"2013",4.401,"Armenia"
"2013",10.492,"Armenia"
"2013",15.218,"Armenia"
"2013",19.142,"Armenia"
"2013",21.782,"Armenia"
"2013",21.543,"Armenia"
"2013",27.012,"Aruba"
"2013",26.97,"Aruba"
"2013",27.242,"Aruba"
"2013",27.809,"Aruba"
"2013",28.97,"Aruba"
"2013",29.881,"Aruba"
"2013",30.171,"Aruba"
"2013",30.275,"Aruba"
"2013",-6.65,"Asia"
"2013",-3.745,"Asia"
"2013",1.969,"Asia"
"2013",9.688,"Asia"
"2013",16.102,"Asia"
"2013",20.364,"Asia"
"2013",21.962,"Asia"
"2013",20.689,"Asia"
"2013",29.861,"Australia"
"2013",28.311,"Australia"
"2013",26.59,"Australia"
"2013",23.305,"Australia"
"2013",19.377,"Australia"
"2013",16.018,"Australia"
"2013",15.933,"Australia"
"2013",17.748,"Australia"
"2013",-2.405,"Austria"
"2013",-3.086,"Austria"
"2013",0.129,"Austria"
"2013",7.714,"Austria"
"2013",11.048,"Austria"
"2013",14.997,"Austria"
"2013",18.728,"Austria"
"2013",17.316,"Austria"
"2013",2.585,"Azerbaijan"
"2013",4.516,"Azerbaijan"
"2013",7.299,"Azerbaijan"
"2013",12.104,"Azerbaijan"
"2013",17.565,"Azerbaijan"
"2013",21.862,"Azerbaijan"
"2013",24.221,"Azerbaijan"
"2013",23.239,"Azerbaijan"
"2013",23.901,"Bahamas"
"2013",23.234,"Bahamas"
"2013",21.729,"Bahamas"
"2013",25.451,"Bahamas"
"2013",25.976,"Bahamas"
"2013",28.051,"Bahamas"
"2013",28.31,"Bahamas"
"2013",28.796,"Bahamas"
"2013",28.657,"Bahamas"
"2013",17.549,"Bahrain"
"2013",19.131,"Bahrain"
"2013",21.981,"Bahrain"
"2013",26.712,"Bahrain"
"2013",30.864,"Bahrain"
"2013",35.02,"Bahrain"
"2013",36.922,"Bahrain"
"2013",35.224,"Bahrain"
"2013",26.284,"Baker Island"
"2013",26.637,"Baker Island"
"2013",27.296,"Baker Island"
"2013",26.783,"Baker Island"
"2013",26.53,"Baker Island"
"2013",26.552,"Baker Island"
"2013",25.666,"Baker Island"
"2013",25.706,"Baker Island"
"2013",16.922,"Bangladesh"
"2013",21.412,"Bangladesh"
"2013",26.056,"Bangladesh"
"2013",27.994,"Bangladesh"
"2013",28.105,"Bangladesh"
"2013",29.524,"Bangladesh"
"2013",29.083,"Bangladesh"
"2013",28.644,"Bangladesh"
"2013",26.088,"Barbados"
"2013",26.182,"Barbados"
"2013",26.504,"Barbados"
"2013",26.806,"Barbados"
"2013",27.849,"Barbados"
"2013",28.02,"Barbados"
"2013",28.284,"Barbados"
"2013",28.276,"Barbados"
"2013",-6.989,"Belarus"
"2013",-1.969,"Belarus"
"2013",-4.565,"Belarus"
"2013",6.9,"Belarus"
"2013",16.744,"Belarus"
"2013",19.07,"Belarus"
"2013",18.71,"Belarus"
"2013",18.231,"Belarus"
"2013",1.65,"Belgium"
"2013",1.208,"Belgium"
"2013",2.891,"Belgium"
"2013",8.743,"Belgium"
"2013",11.659,"Belgium"
"2013",15.827,"Belgium"
"2013",20.013,"Belgium"
"2013",18.49,"Belgium"
"2013",23.712,"Belize"
"2013",24.85,"Belize"
"2013",24.288,"Belize"
"2013",27.324,"Belize"
"2013",27.708,"Belize"
"2013",27.205,"Belize"
"2013",26.759,"Belize"
"2013",26.105,"Belize"
"2013",27.969,"Belize"
"2013",27.093,"Benin"
"2013",29.689,"Benin"
"2013",31.302,"Benin"
"2013",29.871,"Benin"
"2013",28.93,"Benin"
"2013",27.388,"Benin"
"2013",26.211,"Benin"
"2013",24.801,"Benin"
"2013",3.455,"Bhutan"
"2013",7.355,"Bhutan"
"2013",11.013,"Bhutan"
"2013",12.977,"Bhutan"
"2013",15.497,"Bhutan"
"2013",19.016,"Bhutan"
"2013",18.973,"Bhutan"
"2013",18.365,"Bhutan"
"2013",23.274,"Bolivia"
"2013",22.97,"Bolivia"
"2013",22.509,"Bolivia"
"2013",20.915,"Bolivia"
"2013",19.894,"Bolivia"
"2013",18.831,"Bolivia"
"2013",18.23,"Bolivia"
"2013",18.504,"Bolivia"
"2013",26.493,"Bonaire, Saint Eustatius And Saba"
"2013",26.592,"Bonaire, Saint Eustatius And Saba"
"2013",27.088,"Bonaire, Saint Eustatius And Saba"
"2013",27.395,"Bonaire, Saint Eustatius And Saba"
"2013",28.339,"Bonaire, Saint Eustatius And Saba"
"2013",28.929,"Bonaire, Saint Eustatius And Saba"
"2013",29.106,"Bonaire, Saint Eustatius And Saba"
"2013",29.415,"Bonaire, Saint Eustatius And Saba"
"2013",2.086,"Bosnia And Herzegovina"
"2013",2.819,"Bosnia And Herzegovina"
"2013",5.487,"Bosnia And Herzegovina"
"2013",12.403,"Bosnia And Herzegovina"
"2013",15.901,"Bosnia And Herzegovina"
"2013",19.24,"Bosnia And Herzegovina"
"2013",22.289,"Bosnia And Herzegovina"
"2013",22.811,"Bosnia And Herzegovina"
"2013",27.527,"Botswana"
"2013",27.577,"Botswana"
"2013",26.212,"Botswana"
"2013",21.954,"Botswana"
"2013",19.228,"Botswana"
"2013",16.939,"Botswana"
"2013",16.664,"Botswana"
"2013",18.505,"Botswana"
"2013",26.239,"Brazil"
"2013",26.217,"Brazil"
"2013",26.233,"Brazil"
"2013",25.464,"Brazil"
"2013",24.906,"Brazil"
"2013",24.788,"Brazil"
"2013",24.202,"Brazil"
"2013",24.736,"Brazil"
"2013",25.594,"British Virgin Islands"
"2013",25.594,"British Virgin Islands"
"2013",25.86,"British Virgin Islands"
"2013",26.481,"British Virgin Islands"
"2013",27.493,"British Virgin Islands"
"2013",28.021,"British Virgin Islands"
"2013",28.63,"British Virgin Islands"
"2013",29.147,"British Virgin Islands"
"2013",28.991,"British Virgin Islands"
"2013",1.298,"Bulgaria"
"2013",3.751,"Bulgaria"
"2013",5.925,"Bulgaria"
"2013",12.225,"Bulgaria"
"2013",18.16,"Bulgaria"
"2013",20.133,"Bulgaria"
"2013",22.259,"Bulgaria"
"2013",23.544,"Bulgaria"
"2013",25.118,"Burkina Faso"
"2013",28.37,"Burkina Faso"
"2013",32.644,"Burkina Faso"
"2013",32.082,"Burkina Faso"
"2013",32.198,"Burkina Faso"
"2013",30.313,"Burkina Faso"
"2013",27.957,"Burkina Faso"
"2013",26.402,"Burkina Faso"
"2013",19.27,"Burma"
"2013",23.039,"Burma"
"2013",25.174,"Burma"
"2013",27.495,"Burma"
"2013",27.16,"Burma"
"2013",27.168,"Burma"
"2013",26.425,"Burma"
"2013",26.292,"Burma"
"2013",21.168,"Burundi"
"2013",21.27,"Burundi"
"2013",20.757,"Burundi"
"2013",20.017,"Burundi"
"2013",20.756,"Burundi"
"2013",20.552,"Burundi"
"2013",20.546,"Burundi"
"2013",21.836,"Burundi"
"2013",26.775,"Côte D'Ivoire"
"2013",28.159,"Côte D'Ivoire"
"2013",29.149,"Côte D'Ivoire"
"2013",28.176,"Côte D'Ivoire"
"2013",27.465,"Côte D'Ivoire"
"2013",26.391,"Côte D'Ivoire"
"2013",25.367,"Côte D'Ivoire"
"2013",25.007,"Côte D'Ivoire"
"2013",25.829,"Cambodia"
"2013",28.237,"Cambodia"
"2013",29.609,"Cambodia"
"2013",29.766,"Cambodia"
"2013",29.45,"Cambodia"
"2013",28.236,"Cambodia"
"2013",27.434,"Cambodia"
"2013",27.516,"Cambodia"
"2013",25.382,"Cameroon"
"2013",26.61,"Cameroon"
"2013",26.75,"Cameroon"
"2013",26.156,"Cameroon"
"2013",25.411,"Cameroon"
"2013",24.694,"Cameroon"
"2013",23.955,"Cameroon"
"2013",23.503,"Cameroon"
"2013",-21.633,"Canada"
"2013",-18.896,"Canada"
"2013",-14.001,"Canada"
"2013",-7.849,"Canada"
"2013",2.926,"Canada"
"2013",10.8,"Canada"
"2013",13.333,"Canada"
"2013",12.632,"Canada"
"2013",7.922,"Canada"
"2013",22.903,"Cape Verde"
"2013",22.706,"Cape Verde"
"2013",23.403,"Cape Verde"
"2013",23.528,"Cape Verde"
"2013",24.841,"Cape Verde"
"2013",25.178,"Cape Verde"
"2013",26.433,"Cape Verde"
"2013",27.252,"Cape Verde"
"2013",26.034,"Cayman Islands"
"2013",25.776,"Cayman Islands"
"2013",24.931,"Cayman Islands"
"2013",27.986,"Cayman Islands"
"2013",28.253,"Cayman Islands"
"2013",28.393,"Cayman Islands"
"2013",28.441,"Cayman Islands"
"2013",28.457,"Cayman Islands"
"2013",29.753,"Cayman Islands"
"2013",26.562,"Central African Republic"
"2013",27.91,"Central African Republic"
"2013",27.994,"Central African Republic"
"2013",26.229,"Central African Republic"
"2013",26.195,"Central African Republic"
"2013",25.545,"Central African Republic"
"2013",24.554,"Central African Republic"
"2013",24.698,"Central African Republic"
"2013",23.392,"Chad"
"2013",25.512,"Chad"
"2013",29.191,"Chad"
"2013",29.331,"Chad"
"2013",31.079,"Chad"
"2013",30.934,"Chad"
"2013",29.508,"Chad"
"2013",27.901,"Chad"
"2013",15.224,"Chile"
"2013",14.402,"Chile"
"2013",12.105,"Chile"
"2013",10.559,"Chile"
"2013",8.309,"Chile"
"2013",6.683,"Chile"
"2013",5.774,"Chile"
"2013",5.963,"Chile"
"2013",-8.137,"China"
"2013",-3.812,"China"
"2013",3.819,"China"
"2013",8.577,"China"
"2013",14.824,"China"
"2013",18.636,"China"
"2013",20.482,"China"
"2013",19.971,"China"
"2013",27.061,"Christmas Island"
"2013",27.638,"Christmas Island"
"2013",27.602,"Christmas Island"
"2013",27.7,"Christmas Island"
"2013",27.413,"Christmas Island"
"2013",26.665,"Christmas Island"
"2013",26,"Christmas Island"
"2013",26.007,"Christmas Island"
"2013",25.695,"Colombia"
"2013",25.493,"Colombia"
"2013",26.038,"Colombia"
"2013",25.874,"Colombia"
"2013",25.37,"Colombia"
"2013",25.5,"Colombia"
"2013",25.276,"Colombia"
"2013",25.39,"Colombia"
"2013",28.221,"Comoros"
"2013",28.008,"Comoros"
"2013",28.042,"Comoros"
"2013",27.467,"Comoros"
"2013",26.51,"Comoros"
"2013",25.133,"Comoros"
"2013",24.546,"Comoros"
"2013",24.416,"Comoros"
"2013",24.981,"Congo (Democratic Republic Of The)"
"2013",25.339,"Congo (Democratic Republic Of The)"
"2013",25.115,"Congo (Democratic Republic Of The)"
"2013",24.398,"Congo (Democratic Republic Of The)"
"2013",24.46,"Congo (Democratic Republic Of The)"
"2013",24.146,"Congo (Democratic Republic Of The)"
"2013",23.619,"Congo (Democratic Republic Of The)"
"2013",24.425,"Congo (Democratic Republic Of The)"
"2013",25.476,"Congo"
"2013",26.23,"Congo"
"2013",25.982,"Congo"
"2013",25.787,"Congo"
"2013",25.565,"Congo"
"2013",24.642,"Congo"
"2013",23.602,"Congo"
"2013",23.831,"Congo"
"2013",25.887,"Costa Rica"
"2013",25.844,"Costa Rica"
"2013",26.709,"Costa Rica"
"2013",26.91,"Costa Rica"
"2013",26.702,"Costa Rica"
"2013",26.266,"Costa Rica"
"2013",26.678,"Costa Rica"
"2013",26.251,"Costa Rica"
"2013",26.871,"Costa Rica"
"2013",2.752,"Croatia"
"2013",2.886,"Croatia"
"2013",5.699,"Croatia"
"2013",13.086,"Croatia"
"2013",16.502,"Croatia"
"2013",20.418,"Croatia"
"2013",23.809,"Croatia"
"2013",23.56,"Croatia"
"2013",24.584,"Cuba"
"2013",24.279,"Cuba"
"2013",23.345,"Cuba"
"2013",26.14,"Cuba"
"2013",26.495,"Cuba"
"2013",27.491,"Cuba"
"2013",27.568,"Cuba"
"2013",27.928,"Cuba"
"2013",28.424,"Cuba"
"2013",26.679,"Curaçao"
"2013",26.859,"Curaçao"
"2013",27.249,"Curaçao"
"2013",27.611,"Curaçao"
"2013",28.569,"Curaçao"
"2013",29.191,"Curaçao"
"2013",29.279,"Curaçao"
"2013",29.527,"Curaçao"
"2013",12.367,"Cyprus"
"2013",13.867,"Cyprus"
"2013",15.313,"Cyprus"
"2013",17.935,"Cyprus"
"2013",22.725,"Cyprus"
"2013",25.339,"Cyprus"
"2013",27.209,"Cyprus"
"2013",28.044,"Cyprus"
"2013",-1.594,"Czech Republic"
"2013",-1.157,"Czech Republic"
"2013",-0.0600000000000001,"Czech Republic"
"2013",8.741,"Czech Republic"
"2013",12.903,"Czech Republic"
"2013",16.599,"Czech Republic"
"2013",20.155,"Czech Republic"
"2013",18.661,"Czech Republic"
"2013",0.272,"Denmark (Europe)"
"2013",-0.118,"Denmark (Europe)"
"2013",-0.311,"Denmark (Europe)"
"2013",5.673,"Denmark (Europe)"
"2013",12.208,"Denmark (Europe)"
"2013",14.893,"Denmark (Europe)"
"2013",17.986,"Denmark (Europe)"
"2013",17.528,"Denmark (Europe)"
"2013",-26.332,"Denmark"
"2013",-29.123,"Denmark"
"2013",-23.937,"Denmark"
"2013",-20.195,"Denmark"
"2013",-12.048,"Denmark"
"2013",-3.101,"Denmark"
"2013",-0.9,"Denmark"
"2013",-3.782,"Denmark"
"2013",25.857,"Djibouti"
"2013",27.064,"Djibouti"
"2013",28.809,"Djibouti"
"2013",30.643,"Djibouti"
"2013",32,"Djibouti"
"2013",33.041,"Djibouti"
"2013",34.012,"Djibouti"
"2013",34.532,"Djibouti"
"2013",25.56,"Dominica"
"2013",25.609,"Dominica"
"2013",25.904,"Dominica"
"2013",26.296,"Dominica"
"2013",27.587,"Dominica"
"2013",28.003,"Dominica"
"2013",28.167,"Dominica"
"2013",28.251,"Dominica"
"2013",24.15,"Dominican Republic"
"2013",24.355,"Dominican Republic"
"2013",24.792,"Dominican Republic"
"2013",25.865,"Dominican Republic"
"2013",26.965,"Dominican Republic"
"2013",27.322,"Dominican Republic"
"2013",27.258,"Dominican Republic"
"2013",27.86,"Dominican Republic"
"2013",28.046,"Dominican Republic"
"2013",22.659,"Ecuador"
"2013",22.525,"Ecuador"
"2013",22.983,"Ecuador"
"2013",22.762,"Ecuador"
"2013",22.497,"Ecuador"
"2013",21.933,"Ecuador"
"2013",21.243,"Ecuador"
"2013",21.511,"Ecuador"
"2013",14.792,"Egypt"
"2013",17.203,"Egypt"
"2013",21.278,"Egypt"
"2013",22.741,"Egypt"
"2013",28.974,"Egypt"
"2013",30.269,"Egypt"
"2013",30.114,"Egypt"
"2013",30.671,"Egypt"
"2013",24.831,"El Salvador"
"2013",25.474,"El Salvador"
"2013",25.992,"El Salvador"
"2013",27.336,"El Salvador"
"2013",26.655,"El Salvador"
"2013",25.762,"El Salvador"
"2013",25.799,"El Salvador"
"2013",24.943,"El Salvador"
"2013",26.405,"El Salvador"
"2013",26.418,"Equatorial Guinea"
"2013",27.288,"Equatorial Guinea"
"2013",26.528,"Equatorial Guinea"
"2013",26.231,"Equatorial Guinea"
"2013",25.834,"Equatorial Guinea"
"2013",24.622,"Equatorial Guinea"
"2013",23.95,"Equatorial Guinea"
"2013",23.853,"Equatorial Guinea"
"2013",24.658,"Eritrea"
"2013",26.245,"Eritrea"
"2013",27.855,"Eritrea"
"2013",28.724,"Eritrea"
"2013",30.711,"Eritrea"
"2013",30.325,"Eritrea"
"2013",29.751,"Eritrea"
"2013",29.759,"Eritrea"
"2013",-6.346,"Estonia"
"2013",-3.075,"Estonia"
"2013",-6.571,"Estonia"
"2013",3.424,"Estonia"
"2013",14.249,"Estonia"
"2013",18.11,"Estonia"
"2013",18.247,"Estonia"
"2013",17.656,"Estonia"
"2013",23.222,"Ethiopia"
"2013",24.475,"Ethiopia"
"2013",25.74,"Ethiopia"
"2013",25.447,"Ethiopia"
"2013",25.371,"Ethiopia"
"2013",24.424,"Ethiopia"
"2013",23.784,"Ethiopia"
"2013",24.589,"Ethiopia"
"2013",-0.817,"Europe"
"2013",0.285,"Europe"
"2013",0.946,"Europe"
"2013",7.81,"Europe"
"2013",13.466,"Europe"
"2013",17.096,"Europe"
"2013",19.585,"Europe"
"2013",18.991,"Europe"
"2013",10.837,"Falkland Islands (Islas Malvinas)"
"2013",9.299,"Falkland Islands (Islas Malvinas)"
"2013",8.729,"Falkland Islands (Islas Malvinas)"
"2013",9.562,"Falkland Islands (Islas Malvinas)"
"2013",6.209,"Falkland Islands (Islas Malvinas)"
"2013",6.004,"Falkland Islands (Islas Malvinas)"
"2013",5.021,"Falkland Islands (Islas Malvinas)"
"2013",3.107,"Falkland Islands (Islas Malvinas)"
"2013",5.261,"Faroe Islands"
"2013",4.736,"Faroe Islands"
"2013",2.919,"Faroe Islands"
"2013",4.08,"Faroe Islands"
"2013",7.17,"Faroe Islands"
"2013",9.678,"Faroe Islands"
"2013",11.365,"Faroe Islands"
"2013",11.404,"Faroe Islands"
"2013",28.014,"Federated States Of Micronesia"
"2013",28.168,"Federated States Of Micronesia"
"2013",27.946,"Federated States Of Micronesia"
"2013",28.07,"Federated States Of Micronesia"
"2013",28.351,"Federated States Of Micronesia"
"2013",27.819,"Federated States Of Micronesia"
"2013",27.785,"Federated States Of Micronesia"
"2013",27.825,"Federated States Of Micronesia"
"2013",27.307,"Fiji"
"2013",26.975,"Fiji"
"2013",26.96,"Fiji"
"2013",26.802,"Fiji"
"2013",25.755,"Fiji"
"2013",25.101,"Fiji"
"2013",24.196,"Fiji"
"2013",24.435,"Fiji"
"2013",-8.621,"Finland"
"2013",-6.349,"Finland"
"2013",-10.168,"Finland"
"2013",0.458,"Finland"
"2013",10.42,"Finland"
"2013",15.724,"Finland"
"2013",15.937,"Finland"
"2013",15.112,"Finland"
"2013",3.413,"France (Europe)"
"2013",2.435,"France (Europe)"
"2013",5.542,"France (Europe)"
"2013",9.61,"France (Europe)"
"2013",11.476,"France (Europe)"
"2013",16.328,"France (Europe)"
"2013",21.291,"France (Europe)"
"2013",19.471,"France (Europe)"
"2013",7.235,"France"
"2013",6.385,"France"
"2013",9.041,"France"
"2013",12.32,"France"
"2013",13.763,"France"
"2013",17.75,"France"
"2013",21.817,"France"
"2013",20.366,"France"
"2013",26.369,"French Guiana"
"2013",25.946,"French Guiana"
"2013",26.735,"French Guiana"
"2013",26.473,"French Guiana"
"2013",26.379,"French Guiana"
"2013",26.619,"French Guiana"
"2013",26.542,"French Guiana"
"2013",27.168,"French Guiana"
"2013",27.282,"French Polynesia"
